# JavaScript Benchmark Expected Results
# Format: test_name,category,is_vulnerable,cwe
# SQLi (CWE-89): tests 1-20
BenchmarkTest00001,sqli,true,89
BenchmarkTest00002,sqli,false,89
BenchmarkTest00003,sqli,true,89
BenchmarkTest00004,sqli,false,89
BenchmarkTest00005,sqli,true,89
BenchmarkTest00006,sqli,false,89
BenchmarkTest00007,sqli,true,89
BenchmarkTest00008,sqli,false,89
BenchmarkTest00009,sqli,true,89
BenchmarkTest00010,sqli,false,89
BenchmarkTest00011,sqli,true,89
BenchmarkTest00012,sqli,false,89
BenchmarkTest00013,sqli,true,89
BenchmarkTest00014,sqli,false,89
BenchmarkTest00015,sqli,true,89
BenchmarkTest00016,sqli,false,89
BenchmarkTest00017,sqli,true,89
BenchmarkTest00018,sqli,false,89
BenchmarkTest00019,sqli,true,89
BenchmarkTest00020,sqli,false,89
# XSS (CWE-79): tests 21-40
BenchmarkTest00021,xss,true,79
BenchmarkTest00022,xss,false,79
BenchmarkTest00023,xss,true,79
BenchmarkTest00024,xss,false,79
BenchmarkTest00025,xss,true,79
BenchmarkTest00026,xss,false,79
BenchmarkTest00027,xss,true,79
BenchmarkTest00028,xss,false,79
BenchmarkTest00029,xss,true,79
BenchmarkTest00030,xss,false,79
BenchmarkTest00031,xss,true,79
BenchmarkTest00032,xss,false,79
BenchmarkTest00033,xss,true,79
BenchmarkTest00034,xss,false,79
BenchmarkTest00035,xss,true,79
BenchmarkTest00036,xss,false,79
BenchmarkTest00037,xss,true,79
BenchmarkTest00038,xss,false,79
BenchmarkTest00039,xss,true,79
BenchmarkTest00040,xss,false,79
# Command Injection (CWE-78): tests 41-60
BenchmarkTest00041,cmdi,true,78
BenchmarkTest00042,cmdi,false,78
BenchmarkTest00043,cmdi,true,78
BenchmarkTest00044,cmdi,false,78
BenchmarkTest00045,cmdi,true,78
BenchmarkTest00046,cmdi,false,78
BenchmarkTest00047,cmdi,true,78
BenchmarkTest00048,cmdi,false,78
BenchmarkTest00049,cmdi,true,78
BenchmarkTest00050,cmdi,false,78
BenchmarkTest00051,cmdi,true,78
BenchmarkTest00052,cmdi,false,78
BenchmarkTest00053,cmdi,true,78
BenchmarkTest00054,cmdi,false,78
BenchmarkTest00055,cmdi,true,78
BenchmarkTest00056,cmdi,false,78
BenchmarkTest00057,cmdi,true,78
BenchmarkTest00058,cmdi,false,78
BenchmarkTest00059,cmdi,true,78
BenchmarkTest00060,cmdi,false,78
# Path Traversal (CWE-22): tests 61-80
BenchmarkTest00061,pathtraver,true,22
BenchmarkTest00062,pathtraver,false,22
BenchmarkTest00063,pathtraver,true,22
BenchmarkTest00064,pathtraver,false,22
BenchmarkTest00065,pathtraver,true,22
BenchmarkTest00066,pathtraver,false,22
BenchmarkTest00067,pathtraver,true,22
BenchmarkTest00068,pathtraver,false,22
BenchmarkTest00069,pathtraver,true,22
BenchmarkTest00070,pathtraver,false,22
BenchmarkTest00071,pathtraver,true,22
BenchmarkTest00072,pathtraver,false,22
BenchmarkTest00073,pathtraver,true,22
BenchmarkTest00074,pathtraver,false,22
BenchmarkTest00075,pathtraver,true,22
BenchmarkTest00076,pathtraver,false,22
BenchmarkTest00077,pathtraver,true,22
BenchmarkTest00078,pathtraver,false,22
BenchmarkTest00079,pathtraver,true,22
BenchmarkTest00080,pathtraver,false,22
# SSRF (CWE-918): tests 81-100
BenchmarkTest00081,ssrf,true,918
BenchmarkTest00082,ssrf,false,918
BenchmarkTest00083,ssrf,true,918
BenchmarkTest00084,ssrf,false,918
BenchmarkTest00085,ssrf,true,918
BenchmarkTest00086,ssrf,false,918
BenchmarkTest00087,ssrf,true,918
BenchmarkTest00088,ssrf,false,918
BenchmarkTest00089,ssrf,true,918
BenchmarkTest00090,ssrf,false,918
BenchmarkTest00091,ssrf,true,918
BenchmarkTest00092,ssrf,false,918
BenchmarkTest00093,ssrf,true,918
BenchmarkTest00094,ssrf,false,918
BenchmarkTest00095,ssrf,true,918
BenchmarkTest00096,ssrf,false,918
BenchmarkTest00097,ssrf,true,918
BenchmarkTest00098,ssrf,false,918
BenchmarkTest00099,ssrf,true,918
BenchmarkTest00100,ssrf,false,918
# NoSQL Injection (CWE-943): tests 101-120
BenchmarkTest00101,nosql,true,943
BenchmarkTest00102,nosql,false,943
BenchmarkTest00103,nosql,true,943
BenchmarkTest00104,nosql,false,943
BenchmarkTest00105,nosql,true,943
BenchmarkTest00106,nosql,false,943
BenchmarkTest00107,nosql,true,943
BenchmarkTest00108,nosql,false,943
BenchmarkTest00109,nosql,true,943
BenchmarkTest00110,nosql,false,943
BenchmarkTest00111,nosql,true,943
BenchmarkTest00112,nosql,false,943
BenchmarkTest00113,nosql,true,943
BenchmarkTest00114,nosql,false,943
BenchmarkTest00115,nosql,true,943
BenchmarkTest00116,nosql,false,943
BenchmarkTest00117,nosql,true,943
BenchmarkTest00118,nosql,false,943
BenchmarkTest00119,nosql,true,943
BenchmarkTest00120,nosql,false,943
# Deserialization (CWE-502): tests 121-140
BenchmarkTest00121,deser,true,502
BenchmarkTest00122,deser,false,502
BenchmarkTest00123,deser,true,502
BenchmarkTest00124,deser,false,502
BenchmarkTest00125,deser,true,502
BenchmarkTest00126,deser,false,502
BenchmarkTest00127,deser,true,502
BenchmarkTest00128,deser,false,502
BenchmarkTest00129,deser,true,502
BenchmarkTest00130,deser,false,502
BenchmarkTest00131,deser,true,502
BenchmarkTest00132,deser,false,502
BenchmarkTest00133,deser,true,502
BenchmarkTest00134,deser,false,502
BenchmarkTest00135,deser,true,502
BenchmarkTest00136,deser,false,502
BenchmarkTest00137,deser,true,502
BenchmarkTest00138,deser,false,502
BenchmarkTest00139,deser,true,502
BenchmarkTest00140,deser,false,502
# SSTI (CWE-1336): tests 141-160
BenchmarkTest00141,ssti,true,1336
BenchmarkTest00142,ssti,false,1336
BenchmarkTest00143,ssti,true,1336
BenchmarkTest00144,ssti,false,1336
BenchmarkTest00145,ssti,true,1336
BenchmarkTest00146,ssti,false,1336
BenchmarkTest00147,ssti,true,1336
BenchmarkTest00148,ssti,false,1336
BenchmarkTest00149,ssti,true,1336
BenchmarkTest00150,ssti,false,1336
BenchmarkTest00151,ssti,true,1336
BenchmarkTest00152,ssti,false,1336
BenchmarkTest00153,ssti,true,1336
BenchmarkTest00154,ssti,false,1336
BenchmarkTest00155,ssti,true,1336
BenchmarkTest00156,ssti,false,1336
BenchmarkTest00157,ssti,true,1336
BenchmarkTest00158,ssti,false,1336
BenchmarkTest00159,ssti,true,1336
BenchmarkTest00160,ssti,false,1336
# Open Redirect (CWE-601): tests 161-180
BenchmarkTest00161,redirect,true,601
BenchmarkTest00162,redirect,false,601
BenchmarkTest00163,redirect,true,601
BenchmarkTest00164,redirect,false,601
BenchmarkTest00165,redirect,true,601
BenchmarkTest00166,redirect,false,601
BenchmarkTest00167,redirect,true,601
BenchmarkTest00168,redirect,false,601
BenchmarkTest00169,redirect,true,601
BenchmarkTest00170,redirect,false,601
BenchmarkTest00171,redirect,true,601
BenchmarkTest00172,redirect,false,601
BenchmarkTest00173,redirect,true,601
BenchmarkTest00174,redirect,false,601
BenchmarkTest00175,redirect,true,601
BenchmarkTest00176,redirect,false,601
BenchmarkTest00177,redirect,true,601
BenchmarkTest00178,redirect,false,601
BenchmarkTest00179,redirect,true,601
BenchmarkTest00180,redirect,false,601
